FPR_LR,TPR_LR,FPR_RF,TPR_RF,FPR_CB,TPR_CB
0.0,0.0,0.0,0.0,0.0,0.0
0.000968054211035818,0.0,0.000968054211035818,0.0106951871657754,0.0,0.00267379679144385
0.000968054211035818,0.008021390374331552,0.001936108422071636,0.013368983957219251,0.0,0.008021390374331552
0.001936108422071636,0.008021390374331552,0.001936108422071636,0.016042780748663103,0.000968054211035818,0.008021390374331552
0.001936108422071636,0.0106951871657754,0.001936108422071636,0.02406417112299465,0.000968054211035818,0.013368983957219251
0.002904162633107454,0.0106951871657754,0.002904162633107454,0.02406417112299465,0.001936108422071636,0.013368983957219251
0.002904162633107454,0.02406417112299465,0.002904162633107454,0.026737967914438502,0.001936108422071636,0.02406417112299465
0.003872216844143272,0.02406417112299465,0.002904162633107454,0.0481283422459893,0.002904162633107454,0.02406417112299465
0.003872216844143272,0.03208556149732621,0.00484027105517909,0.053475935828877004,0.002904162633107454,0.03208556149732621
0.00484027105517909,0.03208556149732621,0.00484027105517909,0.05614973262032086,0.003872216844143272,0.03208556149732621
0.00484027105517909,0.0481283422459893,0.00484027105517909,0.06684491978609626,0.003872216844143272,0.0481283422459893
0.005808325266214908,0.0481283422459893,0.006776379477250726,0.07754010695187166,0.00484027105517909,0.0481283422459893
0.005808325266214908,0.06149732620320856,0.006776379477250726,0.08823529411764706,0.00484027105517909,0.053475935828877004
0.006776379477250726,0.06149732620320856,0.006776379477250726,0.0962566844919786,0.007744433688286544,0.053475935828877004
0.006776379477250726,0.06417112299465241,0.006776379477250726,0.10695187165775401,0.007744433688286544,0.06149732620320856
0.007744433688286544,0.06417112299465241,0.006776379477250726,0.10962566844919786,0.008712487899322363,0.06149732620320856
0.007744433688286544,0.06684491978609626,0.008712487899322363,0.11497326203208556,0.008712487899322363,0.06417112299465241
0.008712487899322363,0.06684491978609626,0.011616650532429816,0.12032085561497326,0.010648596321393998,0.06417112299465241
0.008712487899322363,0.08823529411764706,0.013552758954501452,0.12299465240641712,0.010648596321393998,0.06951871657754011
0.010648596321393998,0.08823529411764706,0.013552758954501452,0.1443850267379679,0.011616650532429816,0.06951871657754011
0.010648596321393998,0.15775401069518716,0.01452081316553727,0.14705882352941177,0.011616650532429816,0.0748663101604278
0.011616650532429816,0.15775401069518716,0.016456921587608905,0.15240641711229946,0.012584704743465635,0.0748663101604278
0.011616650532429816,0.16042780748663102,0.016456921587608905,0.16310160427807488,0.012584704743465635,0.0962566844919786
0.012584704743465635,0.16042780748663102,0.016456921587608905,0.1657754010695187,0.013552758954501452,0.0962566844919786
0.012584704743465635,0.16310160427807488,0.016456921587608905,0.1711229946524064,0.013552758954501452,0.09893048128342247
