FPR,TPR,Model
0.0,0.0,Logistic Regression
0.000968054211035818,0.0,Logistic Regression
0.000968054211035818,0.008021390374331552,Logistic Regression
0.001936108422071636,0.008021390374331552,Logistic Regression
0.001936108422071636,0.0106951871657754,Logistic Regression
0.002904162633107454,0.0106951871657754,Logistic Regression
0.002904162633107454,0.02406417112299465,Logistic Regression
0.003872216844143272,0.02406417112299465,Logistic Regression
0.003872216844143272,0.03208556149732621,Logistic Regression
0.00484027105517909,0.03208556149732621,Logistic Regression
0.00484027105517909,0.0481283422459893,Logistic Regression
0.005808325266214908,0.0481283422459893,Logistic Regression
0.005808325266214908,0.06149732620320856,Logistic Regression
0.006776379477250726,0.06149732620320856,Logistic Regression
0.006776379477250726,0.06417112299465241,Logistic Regression
0.007744433688286544,0.06417112299465241,Logistic Regression
0.007744433688286544,0.06684491978609626,Logistic Regression
0.008712487899322363,0.06684491978609626,Logistic Regression
0.008712487899322363,0.08823529411764706,Logistic Regression
0.010648596321393998,0.08823529411764706,Logistic Regression
0.010648596321393998,0.15775401069518716,Logistic Regression
0.011616650532429816,0.15775401069518716,Logistic Regression
0.011616650532429816,0.16042780748663102,Logistic Regression
0.012584704743465635,0.16042780748663102,Logistic Regression
0.012584704743465635,0.16310160427807488,Logistic Regression
0.013552758954501452,0.16310160427807488,Logistic Regression
0.013552758954501452,0.1657754010695187,Logistic Regression
0.01452081316553727,0.1657754010695187,Logistic Regression
0.01452081316553727,0.17379679144385027,Logistic Regression
0.016456921587608905,0.17379679144385027,Logistic Regression
0.016456921587608905,0.17647058823529413,Logistic Regression
0.018393030009680542,0.17647058823529413,Logistic Regression
0.018393030009680542,0.22459893048128343,Logistic Regression
0.018393030009680542,0.22994652406417113,Logistic Regression
0.018393030009680542,0.232620320855615,Logistic Regression
0.01936108422071636,0.232620320855615,Logistic Regression
0.01936108422071636,0.23796791443850268,Logistic Regression
0.021297192642787996,0.23796791443850268,Logistic Regression
0.021297192642787996,0.24866310160427807,Logistic Regression
0.022265246853823813,0.24866310160427807,Logistic Regression
0.022265246853823813,0.2647058823529412,Logistic Regression
0.023233301064859633,0.2647058823529412,Logistic Regression
0.023233301064859633,0.2727272727272727,Logistic Regression
0.026137463697967087,0.2727272727272727,Logistic Regression
0.026137463697967087,0.2807486631016043,Logistic Regression
0.028073572120038724,0.2807486631016043,Logistic Regression
0.028073572120038724,0.28342245989304815,Logistic Regression
0.02904162633107454,0.28342245989304815,Logistic Regression
0.02904162633107454,0.29411764705882354,Logistic Regression
0.031945788964181994,0.29411764705882354,Logistic Regression
0.031945788964181994,0.2967914438502674,Logistic Regression
0.03291384317521781,0.2967914438502674,Logistic Regression
0.03291384317521781,0.2994652406417112,Logistic Regression
0.03388189738625363,0.2994652406417112,Logistic Regression
0.03388189738625363,0.3155080213903743,Logistic Regression
0.0377541142303969,0.3155080213903743,Logistic Regression
0.0377541142303969,0.3181818181818182,Logistic Regression
0.03872216844143272,0.3181818181818182,Logistic Regression
0.03872216844143272,0.3235294117647059,Logistic Regression
0.04065827686350436,0.3235294117647059,Logistic Regression
0.04065827686350436,0.32620320855614976,Logistic Regression
0.04356243949661181,0.32620320855614976,Logistic Regression
0.04356243949661181,0.33689839572192515,Logistic Regression
0.046466602129719266,0.33689839572192515,Logistic Regression
0.046466602129719266,0.3422459893048128,Logistic Regression
0.05227492739593417,0.3422459893048128,Logistic Regression
0.05227492739593417,0.35294117647058826,Logistic Regression
0.05324298160696999,0.35294117647058826,Logistic Regression
0.05324298160696999,0.36363636363636365,Logistic Regression
0.05421103581800581,0.36363636363636365,Logistic Regression
0.05421103581800581,0.3663101604278075,Logistic Regression
0.05517909002904162,0.3663101604278075,Logistic Regression
0.05517909002904162,0.3689839572192513,Logistic Regression
0.05614714424007745,0.3689839572192513,Logistic Regression
0.05614714424007745,0.37433155080213903,Logistic Regression
0.0590513068731849,0.37433155080213903,Logistic Regression
0.0590513068731849,0.38235294117647056,Logistic Regression
0.060019361084220714,0.38235294117647056,Logistic Regression
0.060019361084220714,0.393048128342246,Logistic Regression
0.06098741529525654,0.393048128342246,Logistic Regression
0.06098741529525654,0.39572192513368987,Logistic Regression
0.061955469506292354,0.39572192513368987,Logistic Regression
0.061955469506292354,0.3983957219251337,Logistic Regression
0.06292352371732816,0.3983957219251337,Logistic Regression
0.06292352371732816,0.40641711229946526,Logistic Regression
0.06389157792836399,0.40641711229946526,Logistic Regression
0.06389157792836399,0.4090909090909091,Logistic Regression
0.07357212003872217,0.4090909090909091,Logistic Regression
0.07357212003872217,0.41711229946524064,Logistic Regression
0.07454017424975799,0.41711229946524064,Logistic Regression
0.07454017424975799,0.42245989304812837,Logistic Regression
0.0755082284607938,0.42245989304812837,Logistic Regression
0.0755082284607938,0.42513368983957217,Logistic Regression
0.07938044530493708,0.42513368983957217,Logistic Regression
0.07938044530493708,0.4411764705882353,Logistic Regression
0.0803484995159729,0.4411764705882353,Logistic Regression
0.0803484995159729,0.44385026737967914,Logistic Regression
0.08325266214908035,0.44385026737967914,Logistic Regression
0.08325266214908035,0.45989304812834225,Logistic Regression
0.08712487899322362,0.45989304812834225,Logistic Regression
0.08712487899322362,0.46524064171123,Logistic Regression
0.08809293320425944,0.46524064171123,Logistic Regression
0.08809293320425944,0.4679144385026738,Logistic Regression
0.08906098741529525,0.4679144385026738,Logistic Regression
0.08906098741529525,0.4732620320855615,Logistic Regression
0.0909970958373669,0.4732620320855615,Logistic Regression
0.0909970958373669,0.4786096256684492,Logistic Regression
0.09583736689254599,0.4786096256684492,Logistic Regression
