iter	Logloss
373	0.3025460337
374	0.3022143721
375	0.3019317467
376	0.3017661347
377	0.3016215874
378	0.3014350112
379	0.3011622113
380	0.3010620306
381	0.3007527864
382	0.3005774472
383	0.300347736
384	0.300209698
385	0.3001314883
386	0.2999879755
387	0.2996269916
388	0.2995167266
389	0.2993760938
390	0.2992042039
391	0.2989396707
392	0.2986132983
393	0.2983186568
394	0.2982383845
395	0.2981396221
396	0.2979275492
397	0.2976683568
398	0.2974844041
399	0.2972057761
400	0.2970851895
401	0.2970229833
402	0.296865719
403	0.2966327005
404	0.2965360375
405	0.2964272802
406	0.2962094747
407	0.295958102
408	0.2957593836
409	0.2955750821
410	0.2953649575
411	0.2951915562
412	0.2950593304
413	0.2948767657
414	0.2945619154
415	0.2942637699
416	0.2940464772
417	0.2938143301
418	0.2936725612
419	0.2935214964
420	0.2932365762
421	0.2930324439
422	0.2929194423
423	0.2928384766
424	0.2926634489
425	0.2925385028
426	0.2922873282
427	0.2919806357
428	0.2917645389
429	0.291413907
430	0.2911920724
431	0.2911186742
432	0.2910173949
433	0.2906061535
434	0.2904858494
435	0.2902828152
436	0.2901758658
437	0.2899718066
438	0.2897878097
439	0.2896105053
440	0.2893344129
441	0.2892440297
442	0.2890766128
443	0.2887442266
444	0.2886343589
445	0.2883917721
446	0.2880729164
447	0.2878668244
448	0.287601206
449	0.2874614902
450	0.2872177511
451	0.2870929312
452	0.2867126663
453	0.2865831035
454	0.2862751819
455	0.2861901215
456	0.2859728916
457	0.2858465374
458	0.2856399804
459	0.285353509
460	0.2850454999
461	0.2847589332
462	0.2845698599
463	0.2843247271
464	0.2841838707
465	0.2840129318
466	0.2838322726
467	0.2837442558
468	0.2835227837
469	0.2833902379
470	0.2832719845
471	0.2829842713
472	0.2829159456
473	0.2827894228
474	0.2826046892
475	0.2823132663
476	0.2821617719
477	0.2819146717
478	0.2816260446
479	0.2812900703
480	0.2811212243
481	0.2809105755
482	0.2807510085
483	0.2805245573
484	0.2802983941
485	0.2800233451
486	0.2797812249
487	0.2795896383
488	0.2793791999
489	0.2792645758
490	0.2790429798
491	0.2789330483
492	0.278641915
493	0.2782841047
494	0.2781947039
495	0.2781245277
496	0.2778895765
497	0.2776356849
498	0.2775376128
499	0.2772778837
