iter	Logloss
0	0.6595442534
1	0.6304603513
2	0.6071236146
3	0.5841400545
4	0.566595396
5	0.5464105558
6	0.5302304351
7	0.5170558562
8	0.5037145161
9	0.494790868
10	0.4860968143
11	0.4784943777
12	0.4718440746
13	0.4674396152
14	0.4619536527
15	0.4554198878
16	0.4511606281
17	0.4471256287
18	0.4434328403
19	0.4401656163
20	0.4372332245
21	0.4346528613
22	0.4317256263
23	0.4293476821
24	0.4272752142
25	0.4251823909
26	0.4231062463
27	0.4214830601
28	0.4196619222
29	0.417589749
30	0.4160570825
31	0.4146581049
32	0.4131712311
33	0.4118947662
34	0.4103776318
35	0.4093323501
36	0.4080083786
37	0.4070220897
38	0.4059388998
39	0.4051801755
40	0.4042536424
41	0.4035498943
42	0.4021721926
43	0.4013713704
44	0.4008580252
45	0.399948248
46	0.3992849733
47	0.3985967429
48	0.3976821033
49	0.3971919814
50	0.3962787383
51	0.3955142616
52	0.3948379445
53	0.3941206143
54	0.393604828
55	0.3931086095
56	0.3923131315
57	0.3916911275
58	0.3910549186
59	0.3906774517
60	0.3903177744
61	0.3899226042
62	0.3895924195
63	0.3891353789
64	0.3887811717
65	0.3885116273
66	0.3878340805
67	0.3876007
68	0.3871747905
69	0.3867830078
70	0.386276077
71	0.3857957556
72	0.3853329507
73	0.3850929272
74	0.3847209089
75	0.3843435281
76	0.3838037948
77	0.383503417
78	0.3830162585
79	0.3825334068
80	0.3821406769
81	0.381922777
82	0.3815715287
83	0.3811977646
84	0.3805554387
85	0.3802025878
86	0.3799370609
87	0.3797043779
88	0.3796612839
89	0.3791970089
90	0.3787972787
91	0.3783592262
92	0.378184604
93	0.3777725776
94	0.3774834796
95	0.3769953518
96	0.3766042757
97	0.3760072242
98	0.3756352464
99	0.3751601825
100	0.374827428
101	0.3742681161
102	0.3740100459
103	0.373423178
104	0.3730862342
105	0.3728686428
106	0.3726695274
107	0.3721998801
108	0.3718384489
109	0.3716234702
110	0.3713921163
111	0.3708717422
112	0.3707438505
113	0.3704420104
114	0.3702828185
115	0.3696923011
116	0.3695903438
117	0.3693085539
118	0.3690948639
119	0.3687932429
120	0.36851872
121	0.3682674604
122	0.3679329657
123	0.3676632906
124	0.3674717623
125	0.3669466456
126	0.3666345391
127	0.3665687293
128	0.3662887562
129	0.365929483
130	0.3655584149
131	0.3650584474
132	0.3647137581
133	0.364397694
134	0.3641921619
135	0.3637672945
136	0.3634535768
137	0.3630687386
138	0.362876523
139	0.36256632
140	0.3623155649
141	0.3620510309
142	0.3616925413
143	0.3614380116
144	0.3610477599
145	0.3610291467
146	0.3604803102
147	0.3601433921
148	0.359825248
149	0.3595345892
150	0.3593339566
151	0.3589896748
152	0.3587352175
153	0.3584431409
154	0.3580821416
155	0.3577778576
156	0.3574378451
157	0.3570049414
158	0.3566909247
159	0.3562211526
160	0.3558718836
161	0.3556735163
162	0.3553948388
163	0.3549521305
164	0.3547039329
165	0.3544331051
166	0.3541067226
167	0.3538481864
168	0.3536957378
169	0.353378062
170	0.3529273215
171	0.3527495151
172	0.3524096226
173	0.3521835159
174	0.351954447
175	0.3517173889
176	0.3514767218
177	0.3511734887
178	0.3507551478
179	0.3505859818
180	0.3500550166
181	0.3497723541
182	0.3495701443
183	0.349179281
184	0.3490469279
185	0.3487759279
186	0.3485344771
187	0.3483898402
188	0.3480733199
189	0.3477886881
190	0.3474126059
191	0.3470251801
192	0.3468610721
193	0.3465433477
194	0.3462493465
195	0.3459289332
196	0.345758597
197	0.3454664902
198	0.3451552492
199	0.3447773847
200	0.344425267
201	0.3442673037
202	0.3440126597
203	0.3436022726
204	0.3433047268
205	0.3429254711
206	0.3427820014
207	0.3425456808
208	0.3422197097
209	0.3419774681
210	0.3418136022
211	0.3416643284
212	0.3413208976
213	0.3411052891
214	0.3409193962
215	0.3406876326
216	0.3405674745
217	0.3403192376
218	0.3400342235
219	0.3398727273
220	0.3396102742
221	0.3391804607
222	0.338917649
223	0.3386513857
224	0.3382832158
225	0.3379437662
226	0.3376538261
227	0.3373632855
228	0.33716024
229	0.3369231855
230	0.3365843831
231	0.3362911769
232	0.3359463761
233	0.3356689847
234	0.3354173889
235	0.3351329624
236	0.3348487875
237	0.3346906399
238	0.3344400752
239	0.3342376661
240	0.3339157993
241	0.3336039906
242	0.3333594961
243	0.3331069994
244	0.3328798305
245	0.332432619
246	0.3322645603
247	0.3319394146
248	0.3315887521
249	0.3314436668
250	0.3312656578
251	0.3310802474
252	0.3309785102
253	0.330809015
254	0.3305190936
255	0.3303652965
256	0.3300796756
257	0.3298326868
258	0.3295448358
259	0.3293740078
260	0.3290707387
261	0.3288760104
262	0.3283696796
263	0.328119663
264	0.3279295165
265	0.3277451665
266	0.3275975229
267	0.3272726674
268	0.3269453608
269	0.3266596346
270	0.3264130905
271	0.3262475855
272	0.3259115388
273	0.3256867361
274	0.3253485965
275	0.3250187721
276	0.3246640041
277	0.3244610961
278	0.3241686957
279	0.3240587516
280	0.3239543296
281	0.3237181643
282	0.3234342951
283	0.3231446356
284	0.3228837671
285	0.3227106263
286	0.3225273848
287	0.3224106784
288	0.3222312757
289	0.3218583999
290	0.3216466195
291	0.3214321592
292	0.3211820577
293	0.3209178918
294	0.3206023164
295	0.3204256
296	0.3201808031
297	0.3200352551
298	0.3196324225
299	0.3194899085
300	0.3193086326
301	0.3191595104
302	0.3187258522
303	0.3185587176
304	0.3184227757
305	0.3181666064
306	0.3179737248
307	0.3177163653
308	0.3174189896
309	0.3171929121
310	0.3168701436
311	0.3166271917
312	0.3163344399
313	0.3161220807
314	0.3158910561
315	0.3156480553
316	0.3153967775
317	0.3150874521
318	0.3148339946
319	0.3146236064
320	0.3143330431
321	0.3141867451
322	0.3139508626
323	0.3138146484
324	0.3134407821
325	0.3131902545
326	0.3129920799
327	0.3127296121
328	0.3124334084
329	0.312080025
330	0.3118993264
331	0.3116000421
332	0.3114319442
333	0.3113159348
334	0.3110481842
335	0.3108785691
336	0.3106303083
337	0.3104047008
338	0.3101942023
339	0.31000955
340	0.3098979303
341	0.3096654671
342	0.3095391558
343	0.309340195
344	0.3090969614
345	0.3087704111
346	0.3086338907
347	0.3082669005
348	0.3081668514
349	0.3080531691
350	0.3077923952
351	0.3075177014
352	0.3072388976
353	0.3069734439
354	0.3068618146
355	0.306502441
356	0.3062278257
357	0.305894884
358	0.305728191
359	0.3056018518
360	0.3054714477
361	0.3052347594
362	0.305053823
363	0.3047874205
364	0.3046553346
365	0.3044791517
366	0.30425106
367	0.3039619725
368	0.3037737178
369	0.3034466951
370	0.3031832784
371	0.3030055967
372	0.3028789513
